time,p_tank,p_inj,p_comb
4153.6325,-857.9089403333376,-1633.9938003332975,173.14788733333893
4153.635,-858.0668433333359,-1632.87268966663,173.04893500000472
4153.6375,-858.353700333337,-1631.4041929999678,172.98998466666865
4153.64,-858.4510736666697,-1630.3699289999747,172.94787700000063
4153.6425,-858.4747590000043,-1630.4199316666306,172.86366233333246
4153.645,-858.8037236666695,-1631.1383896666423,172.76470999999825
4153.6475,-858.8984653333396,-1632.5779376666371,172.69733799999813
4153.65,-859.0800536666725,-1633.3937693332944,172.606806999996
4153.6525,-859.0142610000058,-1633.9490609999746,172.5015386666637
4153.655,-859.0326830000034,-1633.680626333303,172.45732599999755
4153.6575,-859.0984760000022,-1633.5858846666292,172.35416266666726
4153.66,-858.8616216666686,-1633.8622149999564,172.25731566666704
4153.6625,-858.7589850000028,-1635.2938679999518,172.1562576666707
4153.665,-858.603713666671,-1637.2518639999441,172.04888400000442
4153.6675,-858.5905553333345,-1638.844051333284,171.9520370000042
4153.67,-858.4037036666685,-1639.557245999947,171.90782433333806
4153.6725,-858.1694810000015,-1638.9203706666206,171.85308466667388
4153.675,-858.0142096666697,-1638.912475666621,171.78360733333975
4153.6775,-857.916836000001,-1639.5440873332786,171.72465700000757
4153.68,-857.7905136666687,-1641.6889349999526,171.6151776666753
4153.6825,-857.6431376666684,-1643.5600843332863,171.55201633334315
4153.685,-857.5431326666692,-1645.1206913332921,171.44253700001087
4153.6875,-857.4983936666705,-1645.4233386666203,171.3625330000107
4153.69,-857.29838333334,-1645.0101593332986,171.29095033334644
4153.6925,-857.2036416666738,-1645.0838473333047,171.21726233334437
4153.695,-857.0536340000069,-1645.6101903333017,171.13725833334416
4153.6975,-857.07995133334,-1647.5523959999593,171.04672733334593
4153.7,-857.0273170000058,-1648.6524529999588,170.96251233334576
4153.7025,-856.8773090000032,-1649.0972126666302,170.88040300001157
4153.705,-856.9009946666697,-1647.8287259999508,170.7961883333473
4153.7075,-856.7904626666684,-1646.6891933332975,170.67197133334898
4153.71,-856.7957260000015,-1646.1760089999686,170.60670466668282
4153.7125,-856.6772990000007,-1646.8786766666299,170.50564666668262
4153.715,-856.7457236666698,-1648.4024396666325,170.37090300001438
4153.7175,-856.7773043333359,-1649.1366879999637,170.29932033335015
4153.72,-856.5483450000019,-1649.2393249999577,170.24458066668205
4153.7225,-856.5299230000004,-1648.0813706666231,170.14352266668186
4153.725,-856.4009690000016,-1647.3497539999585,170.04878100001562
4153.7275,-856.5246596666674,-1647.1260583332894,169.98351433334562
4153.73,-856.6404550000017,-1648.2866446666264,169.8614026666813
4153.7325,-856.8588873333337,-1649.460389333296,169.81508466668117
4153.735,-857.0694246666661,-1650.1841109999611,169.72665900001303
