,"Time      (s) efficiency_1,000e+00","Thrust    (N) efficiency_1,000e+00"
1570,1.569999999999938,3714.712845424492
1571,1.5709999999999378,3714.622265306595
1572,1.5719999999999377,3714.53168449278
1573,1.5729999999999376,3714.441102983164
1574,1.5739999999999374,3714.3505207778257
1575,1.5749999999999371,3714.2599378768914
1576,1.5759999999999372,3714.169354280458
1577,1.5769999999999371,3714.078769988605
1578,1.577999999999937,3713.9881850014535
1579,1.578999999999937,3713.897599319108
1580,1.5799999999999368,3713.807012941655
1581,1.580999999999937,3713.716425869206
1582,1.5819999999999366,3713.6258381018474
1583,1.5829999999999365,3713.5352496397
1584,1.5839999999999363,3713.444660482836
1585,1.5849999999999362,3713.354070631381
1586,1.585999999999936,3713.263480085422
1587,1.586999999999936,3713.172888845068
1588,1.587999999999936,3713.082296910414
1589,1.5889999999999358,3712.99170428157
1590,1.5899999999999357,3712.901110958607
1591,1.5909999999999356,3712.8105169416567
1592,1.5919999999999357,3712.7199222308022
1593,1.5929999999999354,3712.629326826136
1594,1.5939999999999352,3712.53873072778
1595,1.5949999999999351,3712.448133935812
1596,1.595999999999935,3712.3575364503454
1597,1.596999999999935,3712.2669382714735
1598,1.5979999999999348,3712.176339399288
1599,1.5989999999999347,3712.085739833903
1600,1.5999999999999346,3711.9951395754015
1601,1.6009999999999345,3711.9045386238968
1602,1.6019999999999344,3711.8139369794726
1603,1.6029999999999345,3711.723334642244
1604,1.603999999999934,3711.632731612284
1605,1.604999999999934,3711.542127889721
1606,1.605999999999934,3711.451523474624
1607,1.6069999999999338,3711.360918367117
1608,1.6079999999999337,3711.270312567278
1609,1.6089999999999336,3711.179706075215
1610,1.6099999999999337,3711.0890988910223
1611,1.6109999999999334,3710.998491014796
1612,1.6119999999999333,3710.907882446632
1613,1.6129999999999332,3710.817273186647
1614,1.613999999999933,3710.726663234905
1615,1.614999999999933,3710.636052591524
1616,1.6159999999999328,3710.5454412566014
1617,1.6169999999999327,3710.4548292302297
1618,1.6179999999999326,3710.364216512508
1619,1.6189999999999325,3710.2736031035256
1620,1.6199999999999324,3710.1829890033823
1621,1.6209999999999325,3710.092374212183
1622,1.6219999999999322,3710.001758730019
1623,1.622999999999932,3709.9111425569768
1624,1.623999999999932,3709.8205256931674
1625,1.6249999999999318,3709.7299081386745
1626,1.6259999999999315,3709.639289893597
