,time,ain1,ain2,ain4,ain5,ain8,ain9,ain11,ain12,ain13,LCM101_LOADCELL_ain1,PX309_OMEGA_ain2,PX309_OMEGA_ain4,PX309_OMEGA_ain5,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,LC101_200_ain11,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13
42,0.10500000000001819,5.47576,3.20701,2.28043,0.44276,-1.23164,-2.60761,1.90462,-0.84794,-1.77072,4532.22637,641.40154,456.08671,88.55194,-496.32852,-771.5217,64.08543,-419.58771,-604.14462
43,0.10750000000007276,5.65829,3.2168,2.28233,0.45065,-1.24175,-2.63572,1.91505,-0.85236,-1.77736,4686.31855,643.35954,456.46567,90.13097,-498.34968,-777.14304,64.52929,-420.47197,-605.47101
44,0.11000000000001364,5.21427,3.2089,2.29433,0.45444,-1.22975,-2.6174,1.90873,-0.8492,-1.76757,4311.48534,641.78051,458.8658,90.8889,-495.94956,-773.47969,64.26028,-419.84036,-603.51301
45,0.11250000000006821,5.46281,3.2168,2.2918,0.45602,-1.22848,-2.61203,1.9182,-0.84478,-1.76788,4521.29596,643.35954,458.36051,91.20471,-495.69691,-772.40595,64.66379,-418.9561,-603.57617
46,0.1150000000000091,5.78809,3.22217,2.29338,0.46044,-1.22691,-2.6054,1.91031,-0.8432,-1.75999,4795.88928,644.43327,458.67631,92.08897,-495.38111,-771.07957,64.32754,-418.6403,-601.99714
47,0.11750000000006366,6.01326,3.21743,2.29022,0.46297,-1.23164,-2.61487,1.92263,-0.84099,-1.76125,4985.97184,643.48586,458.0447,92.59425,-496.32852,-772.9744,64.8521,-418.19817,-602.24979
48,0.12000000000000455,5.27711,3.22438,2.29433,0.46518,-1.23448,-2.62214,1.89673,-0.86215,-1.78588,4364.53783,644.8754,458.8658,93.03638,-496.89697,-774.42711,63.74917,-422.42997,-607.17636
49,0.12250000000005912,5.34659,3.2089,2.2678,0.4595,-1.23827,-2.62498,1.91347,-0.85299,-1.77514,4423.18883,641.78051,453.56026,91.89948,-497.65491,-774.99556,64.46204,-420.59829,-605.02888
50,0.125,5.37438,3.2209,2.26527,0.47845,-1.24175,-2.63319,1.92199,-0.85299,-1.77704,4446.64923,644.18063,453.05497,95.68915,-498.34968,-776.63775,64.8252,-420.59829,-605.40785
51,0.12750000000005457,5.20006,3.21838,2.29054,0.46518,-1.23101,-2.6174,1.92041,-0.84541,-1.7622,4299.48854,643.67534,458.10786,93.03638,-496.2022,-773.47969,64.75795,-419.08243,-602.43927
52,0.12999999999999545,6.08147,3.22438,2.3038,0.46581,-1.22627,-2.62056,1.92231,-0.8492,-1.76757,5043.55646,644.8754,460.76063,93.16271,-495.25478,-774.11131,64.83865,-419.84036,-603.51301
53,0.13250000000005002,5.54176,3.22375,2.31959,0.46297,-1.20954,-2.60413,1.92642,-0.84257,-1.7622,4587.94482,644.74908,463.91869,92.59425,-491.90724,-770.82693,65.0135,-418.51397,-602.43927
54,0.1349999999999909,5.099,3.2228,2.31391,0.45792,-1.21775,-2.61329,1.92926,-0.84225,-1.76314,4214.17799,644.5596,462.78179,91.58368,-493.54943,-772.6586,65.13456,-418.45081,-602.62876
55,0.13750000000004547,5.15932,3.21996,2.30096,0.47087,-1.22785,-2.62529,1.91915,-0.85647,-1.77799,4265.09773,643.99115,460.19218,94.17328,-495.57059,-775.05872,64.70415,-421.29307,-605.59733
56,0.13999999999998636,5.92767,3.22311,2.28454,0.47908,-1.23543,-2.61992,1.91978,-0.85647,-1.77893,4913.72447,644.62276,456.9078,95.81547,-497.08646,-773.98498,64.73105,-421.29307,-605.78681
57,0.14250000000004093,6.32527,3.22406,2.27001,0.46297,-1.24396,-2.63635,1.91663,-0.85804,-1.78715,5249.36815,644.81224,454.00239,92.59425,-498.79181,-777.26936,64.59654,-421.60887,-607.429
58,0.1449999999999818,5.7164,3.22438,2.28454,0.47655,-1.22217,-2.60856,1.92168,-0.84889,-1.76409,4735.37211,644.8754,456.9078,95.31018,-494.43369,-771.71118,64.81175,-419.7772,-602.81824
59,0.14750000000003638,5.70377,3.22059,2.28485,0.46834,-1.23259,-2.61771,1.92357,-0.84857,-1.76883,4724.70829,644.11747,456.97096,93.66799,-496.51801,-773.54286,64.89245,-419.71404,-603.76566
60,0.14999999999997726,4.75067,3.21048,2.27917,0.48034,-1.23354,-2.62435,1.92799,-0.84573,-1.77167,3920.12321,642.09631,455.83406,96.06812,-496.70749,-774.86924,65.08076,-419.14559,-604.33411
61,0.15250000000003183,4.44433,3.22311,2.27096,0.49771,-1.24333,-2.63193,1.92736,-0.84983,-1.77388,3661.52562,644.62276,454.19187,99.54198,-498.66549,-776.38511,65.05386,-419.96668,-604.77624
62,0.15499999999997272,4.41623,3.22375,2.26085,0.46992,-1.25438,-2.64677,1.92547,-0.85931,-1.78715,3637.79862,644.74908,452.17072,93.9838,-500.87613,-779.35368,64.97315,-421.86152,-607.429
63,0.15750000000002728,4.8312,3.22785,2.23654,0.48129,-1.24775,-2.62656,1.9182,-0.85647,-1.78146,3988.10505,645.57018,447.30731,96.2576,-499.54974,-775.31137,64.66379,-421.29307,-606.2921
64,0.15999999999996817,5.78872,3.22722,2.25422,0.47245,-1.2528,-2.6335,1.90399,-0.86499,-1.79346,4796.42247,645.44385,450.84433,94.48909,-500.56032,-776.70091,64.05853,-422.99842,-608.69223
