,Time      (s),Ullage       
7887,7.887000000000969,0.8765073904661984
7888,7.888000000000969,0.8765688527193133
7889,7.889000000000969,0.8766303105027541
7890,7.89000000000097,0.8766917638168472
7891,7.89100000000097,0.8767532126619181
7892,7.89200000000097,0.8768146570382931
7893,7.893000000000971,0.8768760969462973
7894,7.894000000000971,0.8769375323862567
7895,7.895000000000971,0.8769989633584966
7896,7.896000000000972,0.8770603898633424
7897,7.897000000000972,0.8771218119011196
7898,7.898000000000972,0.8771832294721531
7899,7.899000000000973,0.8772446425767684
7900,7.900000000000973,0.8773060512152899
7901,7.901000000000973,0.8773674553880433
7902,7.902000000000974,0.8774288550953528
7903,7.903000000000974,0.8774902503375435
7904,7.904000000000974,0.8775516411149398
7905,7.905000000000975,0.8776130274278665
7906,7.906000000000975,0.8776744092766476
7907,7.907000000000975,0.8777357866616079
7908,7.908000000000976,0.8777971595830715
7909,7.909000000000976,0.8778585280413623
7910,7.910000000000976,0.8779198920368048
7911,7.911000000000977,0.8779812515697225
7912,7.912000000000977,0.8780426066404396
7913,7.913000000000977,0.8781039572492798
7914,7.914000000000978,0.8781653033965665
7915,7.915000000000978,0.8782266450826236
7916,7.916000000000978,0.8782879823077744
7917,7.917000000000979,0.8783493150723425
7918,7.918000000000979,0.878410643376651
7919,7.919000000000979,0.878471967221023
7920,7.92000000000098,0.8785332866057818
7921,7.92100000000098,0.8785946015312502
7922,7.92200000000098,0.8786559119977514
7923,7.923000000000981,0.8787172180056078
7924,7.924000000000981,0.8787785195551423
7925,7.925000000000981,0.8788398166466777
7926,7.926000000000982,0.8789011092805362
7927,7.927000000000982,0.8789623974570404
7928,7.928000000000982,0.8790236811765126
7929,7.929000000000983,0.8790849604392751
7930,7.930000000000983,0.8791462352456499
7931,7.931000000000983,0.8792075055959591
7932,7.932000000000984,0.8792687714905247
7933,7.933000000000984,0.8793300329296684
7934,7.934000000000984,0.879391289913712
7935,7.935000000000985,0.8794525424429774
7936,7.936000000000985,0.8795137905177857
7937,7.937000000000985,0.8795750341384586
7938,7.938000000000986,0.8796362733053176
7939,7.939000000000986,0.8796975080186837
7940,7.940000000000986,0.8797587382788784
7941,7.941000000000987,0.8798199640862227
7942,7.942000000000987,0.8798811854410372
7943,7.943000000000987,0.8799424023436433
7944,7.944000000000988,0.8800036147943613
7945,7.945000000000988,0.8800648227935124
7946,7.946000000000988,0.8801260263414169
7947,7.947000000000989,0.8801872254383954
7948,7.948000000000989,0.8802484200847683
7949,7.949000000000989,0.8803096102808559
7950,7.95000000000099,0.8803707960269783
7951,7.95100000000099,0.880431977323456
7952,7.95200000000099,0.8804931541706085
7953,7.953000000000991,0.8805543265687561
7954,7.954000000000991,0.8806154945182187
7955,7.955000000000991,0.8806766580193157
7956,7.956000000000992,0.8807378170723671
7957,7.957000000000992,0.8807989716776924
7958,7.958000000000992,0.8808601218356106
7959,7.959000000000993,0.8809212675464417
7960,7.960000000000993,0.8809824088105045
7961,7.961000000000993,0.8810435456281185
7962,7.962000000000994,0.8811046779996026
7963,7.963000000000994,0.8811658059252756
7964,7.964000000000994,0.8812269294054569
7965,7.965000000000995,0.8812880484404646
7966,7.966000000000995,0.881349163030618
7967,7.967000000000995,0.8814102731762355
7968,7.968000000000996,0.8814713788776355
7969,7.969000000000996,0.8815324801351366
7970,7.970000000000996,0.8815935769490569
7971,7.971000000000997,0.8816546693197148
7972,7.972000000000997,0.8817157572474282
7973,7.973000000000997,0.8817768407325155
7974,7.974000000000998,0.8818379197752942
7975,7.975000000000998,0.8818989943760825
7976,7.976000000000998,0.8819600645351979
7977,7.977000000000999,0.8820211302529581
7978,7.978000000000999,0.8820821915296808
7979,7.979000000000999,0.8821432483656833
7980,7.980000000001,0.8822043007612829
7981,7.981000000001,0.8822653487167971
7982,7.982000000001,0.8823263922325428
7983,7.983000000001001,0.8823874313088373
7984,7.984000000001001,0.8824484659459977
7985,7.985000000001001,0.8825094961443405
7986,7.986000000001002,0.8825705219041827
7987,7.987000000001002,0.882631543225841
7988,7.988000000001002,0.882692560109632
