,time,Thrust,Pressure Tank,PX309_OMEGA_ain4,Combustion chamber pressure,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,Ox mass,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13,Thrust avg,Thrust avg_integral,"Time      (s) efficiency_9,950e-01",Time      (s),ISP     (m/s),C*      (m/s),Pe/Pb     (-),Thrust (sim),Impulse (sim),Pressure Tank (sim),P inj. (psia),Pressure combustion chamber (sim),P crit (psia),m. ox. (kg/s),Gox (kg/s-m2),r.     (mm/s),Ullage       
7095,,,,,,,,,,,,,7.095000000000704,7.095000000000704,1913.1624990606024,1457.8054448975652,0.7418590893806247,3016.563510607615,23629.67165122105,548.9010911309725,450.5142830391235,196.11145864017575,338.9335563159497,1.2370920319310903,139.6302381718887,2.363409971336964,0.9562472160207104
7096,,,,,,,,,,,,,7.096000000000704,7.096000000000704,1913.1494423804968,1457.801907840593,0.741840041810745,3016.472789739771,23632.68812401079,548.8803855971319,450.496141541502,196.1064233891881,338.92006305503924,1.237059798094379,139.61417350216487,2.3632739997519066,0.956293925718226
7097,,,,,,,,,,,,,7.097000000000705,7.097000000000705,1913.136384952153,1457.7983706155424,0.7418209939322161,3016.38206740167,23635.704506078197,548.8596800380269,450.4780000602902,196.10138805660824,338.90656983590947,1.2370275637348536,139.59811179450554,2.3631380454188413,0.956340632529084
7098,,,,,,,,,,,,,7.098000000000705,7.098000000000705,1913.1233267754608,1457.7948332223891,0.7418019457449609,3016.2913435929136,23638.720797421785,548.8389744535631,450.45985859540167,196.0963526424165,338.8930766584956,1.236995328852366,139.5820530480522,2.3630021083334745,0.956387336453404
7099,,,,,,,,,,,,,7.099000000000705,7.099000000000705,1913.1102678502948,1457.7912956611058,0.7417828972488874,3016.200618313092,23641.736998040094,548.8182688436415,450.4417171467533,196.09131714658784,338.879583522736,1.2369630934467746,139.56599726194725,2.362866188491522,0.9564340374913048
7100,,,,,,,,,,,,,7.100000000000706,7.100000000000706,1913.0972081765367,1457.7877579316662,0.7417638484439121,3016.1098915617963,23644.75310793166,548.7975632081653,450.4235757142578,196.08628156910092,338.8660904285655,1.2369308575179303,139.54994443533286,2.362730285888695,0.956480735642905
7101,,,,,,,,,,,,,7.101000000000706,7.101000000000706,1913.0841477540728,1457.7842200340458,0.7417447993299601,3016.0191633386257,23647.769127095,548.7768575470383,450.4054342978301,196.0812459099353,338.85259737592094,1.2368986210656876,139.5338945673515,2.362594400520708,0.956527430908324
7102,,,,,,,,,,,,,7.102000000000706,7.102000000000706,1913.071086582775,1457.780681968217,0.7417257499069247,3015.92843364316,23650.78505552865,548.7561518601628,450.3872928973853,196.07621016906344,338.83910436473866,1.2368663840899004,139.51784765714632,2.362458532383278,0.95657412328768
7103,,,,,,,,,,,,,7.103000000000707,7.103000000000707,1913.058024662528,1457.7771437341555,0.7417067001747312,3015.837702474996,23653.80089323112,548.7354461474432,450.3691515128377,196.0711743464648,338.8256113949552,1.2368341465904216,139.50180370386042,2.3623226814721203,0.9566208127810918
7104,,,,,,,,,,,,,7.104000000000707,7.104000000000707,1913.0449619932156,1457.7736053318351,0.7416876501332952,3015.746969833737,23656.81664020096,548.714740408781,450.3510101441032,196.06613844211785,338.8121184665076,1.2368019085671085,139.4857627066378,2.362186847782957,0.9566674993886785
7105,,,,,,,,,,,,,7.105000000000707,7.105000000000707,1913.03189857472,1457.770066761228,0.7416685997825437,3015.6562357189723,23659.832296436674,548.69403464408,450.3328687910947,196.06110245600252,338.7986255793312,1.236769670019812,139.4697246646221,2.3620510313115064,0.9567141831105584
7106,,,,,,,,,,,,,7.106000000000708,7.106000000000708,1913.018834406912,1457.7665280223102,0.7416495491223637,3015.56550013028,23662.847861936803,548.6733288532433,450.3147274537278,196.05606638808976,338.78513273336296,1.2367374309483856,139.45368957695757,2.3619152320534886,0.9567608639468504
7107,,,,,,,,,,,,,7.107000000000708,7.107000000000708,1913.00576948968,1457.7629891150546,0.7416304981526871,3015.474763067264,23665.86333669987,548.6526230361729,450.2965861319174,196.0510302383608,338.7716399285396,1.2367051913526852,139.43765744278895,2.3617794500046285,0.9568075418976728
7108,,,,,,,,,,,,,7.108000000000708,7.108000000000708,1912.992703822903,1457.759450039436,0.7416114468734223,3015.38402452951,23668.8787207244,548.6319171927722,450.27844482557686,196.0459940067921,338.7581471647964,1.2366729512325614,139.4216282612608,2.361643685160648,0.9568542169631448
7109,,,,,,,,,,,,,7.109000000000709,7.109000000000709,1912.9796374064624,1457.7559107954282,0.7415923952844882,3015.2932845166165,23671.894014008914,548.6112113229456,450.2603035346215,196.0409576933616,338.74465444207044,1.23664071058787,139.4056020315186,2.3615079375172727,0.956900889143384
7110,,,,,,,,,,,,,7.110000000000709,7.110000000000709,1912.9665702402397,1457.752371383005,0.7415733433857984,3015.2025430281783,23674.909216551943,548.5905054265935,450.2421622589671,196.03592129804707,338.7311617602989,1.236608469418467,139.38957875270808,2.3613722070702337,0.9569475584385096
7111,,,,,,,,,,,,,7.111000000000709,7.111000000000709,1912.9535023241096,1457.74883180214,0.7415542911772603,3015.1118000637675,23677.924328352008,548.569799503621,450.22402099852553,196.03088482082345,338.7176691194163,1.236576227724199,139.37355842397437,2.361236493815252,0.9569942248486398
7112,,,,,,,,,,,,,7.11200000000071,7.11200000000071,1912.940433657961,1457.7452920528085,0.7415352386587974,3015.0210556229995,23680.939349407632,548.5490935539289,450.2058797532141,196.025848261671,338.70417651936083,1.2365439855049265,139.35754104446434,2.361100797748062,0.9570408883738928
7113,,,,,,,,,,,,,7.11300000000071,7.11300000000071,1912.9273642416704,1457.7417521349828,0.7415161858303243,3014.930309705451,23683.954279717334,548.5283875774215,450.18773852294487,196.0208116205666,338.69068396006696,1.2365117427604977,139.34152661332396,2.3609651188643914,0.9570875490143874
7114,,,,,,,,,,,,,7.11400000000071,7.11400000000071,1912.9142940751144,1457.738212048638,0.7414971326917399,3014.8395623107103,23686.96911927965,548.5076815740022,450.1695973076343,196.01577489748428,338.6771914414724,1.2364794994907684,139.32551512970028,2.360829457159974,0.9571342067702414
7115,,,,,,,,,,,,,7.115000000000711,7.115000000000711,1912.9012231581803,1457.7346717937482,0.7414780792429758,3014.748813438385,23689.983868093088,548.4869755435719,450.1514561071966,196.0107380924052,338.6636989635136,1.236447255695594,139.3095065927406,2.360693812630545,0.9571808616415732
7116,,,,,,,,,,,,,7.116000000000711,7.116000000000711,1912.888151490745,1457.7311313702858,0.7414590254839402,3014.6580630880494,23692.99852615617,548.4662694860355,450.133314921545,196.0057012053057,338.65020652612554,1.2364150113748231,139.29350100159184,2.3605581852718345,0.9572275136285016
7117,,,,,,,,,,,,,7.117000000000711,7.117000000000711,1912.8750790726897,1457.7275907782268,0.7414399714145455,3014.567311259305,23696.013093467434,548.4455634012942,450.115173750596,196.00066423616207,338.6367141292461,1.2363827665283134,139.2774983554022,2.360422575079582,0.9572741627311442
7118,,,,,,,,,,,,,7.118000000000712,7.118000000000712,1912.86200590389,1457.724050017543,0.7414209170347006,3014.4765579517275,23699.027570025388,548.4248572892515,450.0970325942621,195.9956271849508,338.6232217728103,1.2363505211559147,139.26149865331945,2.360286982049524,0.9573208089496194
7119,,,,,,,,,,,,,7.119000000000712,7.119000000000712,1912.8489319842367,1457.720509088211,0.7414018623443357,3014.3858031649306,23702.041955828558,548.4041511498103,450.0788914524588,195.9905900516528,338.60972945675496,1.2363182752574822,139.2455018944921,2.3601514061773985,0.9573674522840452
7120,,,,,,,,,,,,,7.120000000000712,7.120000000000712,1912.8358573136,1457.716967990202,0.7413828073433494,3014.2950468984845,23705.05625087545,548.3834449828735,450.0607503251007,195.985552836242,338.59623718101665,1.236286028832868,139.22950807806876,2.3600158474589463,0.9574140927345396
7121,,,,,,,,,,,,,7.121000000000713,7.121000000000713,1912.822781891868,1457.713426723492,0.7413637520316667,3014.204289151995,23708.070455164605,548.3627387883434,450.04260921210215,195.98051553869783,338.58274494553154,1.236253781881927,139.21351720319868,2.3598803058899094,0.957460730301221
7122,,,,,,,,,,,,,7.122000000000713,7.122000000000713,1912.809705718913,1457.709885288054,0.7413446964091888,3014.113529925039,23711.08456869453,548.3420325661225,450.0244681133773,195.9754781589949,338.5692527502354,1.2362215344045102,139.19752926903092,2.3597447814660293,0.957507364984207
7123,,,,,,,,,,,,,7.123000000000713,7.123000000000713,1912.796628794619,1457.7063436838612,0.7413256404758388,3014.022769217207,23714.098591463742,548.3213263161156,450.0063270288403,195.97044069711208,338.55576059506467,1.2361892864004698,139.18154427471504,2.359609274183049,0.957553996783616
7124,,,,,,,,,,,,,7.124000000000714,7.124000000000714,1912.783551118869,1457.7028019108886,0.7413065842315331,3013.932007028107,23717.11252347077,548.3006200382217,449.9881859584078,195.9654031530281,338.54226847995693,1.2361570378696642,139.16556221940166,2.359473784036719,0.9576006256995654
7125,,,,,,,,,,,,,7.125000000000714,7.125000000000714,1912.770472691536,1457.699259969109,0.7412875276761739,3013.841243357298,23720.12636471413,548.2799137323467,449.97004490199015,195.96036552671637,338.5287764048457,1.236124788811937,139.14958310223994,2.3593383110227784,0.9576472517321734
7126,,,,,,,,,,,,,7.126000000000714,7.126000000000714,1912.7573935125056,1457.6957178584985,0.7412684708096838,3013.750478204399,23723.14011519233,548.2592073983915,449.95190385950536,195.9553278181571,338.51528436966964,1.236092539227151,139.13360692238157,2.359202855136981,0.957693874881558
7127,,,,,,,,,,,,,7.127000000000715,7.127000000000715,1912.74431358166,1457.6921755790286,0.7412494136319835,3013.6597115689856,23726.153774903905,548.2385010362603,449.9337628308656,195.95029002732855,338.5017923743635,1.236060289115151,139.11763367897666,2.3590674163750736,0.9577404951478364
7128,,,,,,,,,,,,,7.128000000000715,7.128000000000715,1912.731232898873,1457.688633130674,0.741230356142972,3013.568943450652,23729.167343847355,548.2177946458538,449.9156218159872,195.9452521542049,338.4883004188649,1.2360280384757965,139.10166337117707,2.3589319947328096,0.9577871125311272
